latitude,longitude,time,u10,v10,i10fg,windspeed,bf,month
-24.0,-46.25,2017-01-03 21:00:00,-3.8266,0.6998066,6.1590223,7.561679342961995,BF4,1
-24.0,-46.25,2017-01-03 22:00:00,-2.0769007,-2.4991908,5.9562187,6.316588792097229,BF4,1
-24.0,-46.25,2017-01-03 23:00:00,-2.072994,-2.1957521,6.1203055,5.869841210048753,BF4,1
-24.0,-46.25,2017-01-04 00:00:00,-2.6472743,-0.79503596,5.6774554,5.372943412465026,BF3,1
-24.0,-46.25,2017-01-04 01:00:00,-2.689271,0.35295844,4.596326,5.272356331974818,BF3,1
-24.0,-46.25,2017-01-04 02:00:00,-2.263444,0.100666165,4.0262623,4.404132298583398,BF3,1
-24.0,-46.25,2017-01-04 03:00:00,-1.8146656,-0.23328805,3.5764065,3.5564569452844754,BF3,1
-24.0,-46.25,2017-01-04 04:00:00,-1.6476552,-0.70262897,2.810914,3.481845643631897,BF3,1
-24.0,-46.25,2017-01-04 05:00:00,-1.7712038,-1.3383025,2.5918856,4.3152543522385,BF3,1
-24.0,-46.25,2017-01-04 06:00:00,-1.6452136,-1.5149499,2.9421835,4.3473511936677,BF3,1
-24.0,-46.25,2017-01-04 07:00:00,-1.5114102,-1.2991906,3.457674,3.874183615692334,BF3,1
-24.0,-46.25,2017-01-04 08:00:00,-1.6989303,-0.9441763,3.508191,3.77818216750108,BF3,1
-24.0,-46.25,2017-01-04 09:00:00,-1.7345786,-0.7335745,3.7674112,3.660881359774207,BF3,1
-24.0,-46.25,2017-01-04 10:00:00,-0.7515631,-1.2033454,3.1623182,2.757853819033028,BF2,1
-24.0,-46.25,2017-01-04 11:00:00,-0.49176967,-0.3136605,2.6114283,1.1338135506918159,BF1,1
-24.0,-46.25,2017-01-04 12:00:00,-0.5366963,0.2914971,2.6932878,1.1871997419594902,BF1,1
-24.0,-46.25,2017-01-04 13:00:00,-1.5319202,1.2495201,4.1991987,3.8427597570633223,BF3,1
-24.0,-46.25,2017-01-04 14:00:00,-1.7433686,1.3685744,6.0436087,4.308293537864627,BF3,1
